,symbol,correlation,pvalue
76,HOMER3,0.771428571,0.102777778
77,FAM229B,0.771428571,0.102777778
78,SNORD104,0.771428571,0.102777778
79,TGIF2,0.771428571,0.102777778
80,DNALI1,0.771428571,0.102777778
81,TRABD,0.828571429,0.058333333
82,GAREM1,0.771428571,0.102777778
83,SLC35A2,0.142857143,0.802777778
84,BRF2,0.142857143,0.802777778
85,VGF,0.142857143,0.802777778
86,ATG16L2,0.771428571,0.102777778
87,B4GALT4,0.771428571,0.102777778
88,RING1,0.828571429,0.058333333
89,JADE3,0.771428571,0.102777778
90,ILK,0.828571429,0.058333333
91,PPFIA1,0.828571429,0.058333333
92,CBLB,0.771428571,0.102777778
93,GTF2H3,0.142857143,0.802777778
94,CHD7,0.771428571,0.102777778
95,VKORC1L1,0.142857143,0.802777778
96,C5orf22,0.142857143,0.802777778
97,NT5DC3,0.142857143,0.802777778
98,HIGD1A,0.142857143,0.802777778
99,CFLAR,0.828571429,0.058333333
100,RAPGEF3,0.771428571,0.102777778
101,KAT2A,0.828571429,0.058333333
102,SPHKAP,0.142857143,0.802777778
103,RIPOR3,0.771428571,0.102777778
104,KANK2,0.771428571,0.102777778
105,SRGAP1,0.771428571,0.102777778
106,P3H2,0.771428571,0.102777778
107,PCED1A,0.771428571,0.102777778
108,AUP1,0.771428571,0.102777778
109,HIP1R,0.828571429,0.058333333
110,PAXIP1-AS2,0.771428571,0.102777778
111,CORO1C,0.828571429,0.058333333
112,FBXL19-AS1,0.771428571,0.102777778
113,SUB1,0.142857143,0.802777778
114,ENTR1,0.771428571,0.102777778
115,ZNF32,0.771428571,0.102777778
116,S100A6,0.828571429,0.058333333
117,HEY2,0.771428571,0.102777778
118,NINJ1,0.771428571,0.102777778
119,BNIP3,0.142857143,0.802777778
120,SLC30A3,0.142857143,0.802777778
121,SLC12A4,0.771428571,0.102777778
122,ADIPOR2,0.828571429,0.058333333
123,ARAP1,0.771428571,0.102777778
124,CAVIN1,0.828571429,0.058333333
125,UQCRHL,0.142857143,0.802777778
126,AEBP1,0.771428571,0.102777778
127,ITPRIP,0.771428571,0.102777778
128,PLXDC2,0.771428571,0.102777778
129,PLIN4,0.771428571,0.102777778
130,COL18A1,0.771428571,0.102777778
131,PEX11B,0.142857143,0.802777778
132,BTBD7,0.771428571,0.102777778
133,PSD2,0.828571429,0.058333333
134,PLCB1,0.142857143,0.802777778
135,PCSK1,0.142857143,0.802777778
136,DHDDS,0.142857143,0.802777778
137,PDGFRB,0.828571429,0.058333333
138,SPCS1,0.142857143,0.802777778
139,MYL12B,0.142857143,0.802777778
140,TRIM51,0.142857143,0.802777778
141,RASSF1,0.771428571,0.102777778
142,INPP5D,0.771428571,0.102777778
143,FBXW4,0.771428571,0.102777778
144,SLC16A14,0.142857143,0.802777778
145,ZNF184,0.142857143,0.802777778
146,BCL2L12,0.771428571,0.102777778
147,CCKBR,0.142857143,0.802777778
148,TSPAN7,0.142857143,0.802777778
149,SLC7A2,0.828571429,0.058333333
150,ADCYAP1,0.142857143,0.802777778
151,UHRF1,0.771428571,0.102777778
152,ZNF618,0.771428571,0.102777778
153,DLEC1,0.771428571,0.102777778
154,ATP6V1E1,0.142857143,0.802777778
155,NEXN,0.771428571,0.102777778
156,TLR5,0.771428571,0.102777778
157,TEAD2,0.771428571,0.102777778
158,TMEM216,0.771428571,0.102777778
159,TSPO,0.828571429,0.058333333
160,SORBS1,0.828571429,0.058333333
161,SCG3,0.142857143,0.802777778
162,KLF6,0.828571429,0.058333333
163,SEH1L,0.142857143,0.802777778
164,MRPS30,0.142857143,0.802777778
165,CCDC32,0.142857143,0.802777778
166,NOTCH1,0.828571429,0.058333333
167,STEAP3,0.771428571,0.102777778
168,ATP5MG,0.142857143,0.802777778
169,IST1,0.828571429,0.058333333
170,ZMIZ2,0.771428571,0.102777778
171,CYP2C8,0.142857143,0.802777778
172,OSBPL2,0.828571429,0.058333333
173,HOPX,0.142857143,0.802777778
174,PLEKHA8P1,0.771428571,0.102777778
175,PSMD1,0.142857143,0.802777778
176,NME3,0.828571429,0.058333333
177,LDLRAD4,0.142857143,0.802777778
178,PRKCG,0.142857143,0.802777778
179,PRDM15,0.771428571,0.102777778
180,PHF19,0.771428571,0.102777778
181,CSRNP1,0.828571429,0.058333333
182,RTKN2,0.142857143,0.802777778
183,NTPCR,0.142857143,0.802777778
184,RTL8C,0.142857143,0.802777778
185,ITPKB,0.828571429,0.058333333
186,SLC25A18,0.828571429,0.058333333
187,AGAP2,0.142857143,0.802777778
188,UQCRC2,0.142857143,0.802777778
189,MRTFB,0.142857143,0.802777778
190,SLC5A3,0.828571429,0.058333333
191,NDE1,0.828571429,0.058333333
192,IRF7,0.771428571,0.102777778
193,F8A1,0.142857143,0.802777778
194,CLN8,0.771428571,0.102777778
195,TRIM48,0.142857143,0.802777778
196,NCALD,0.142857143,0.802777778
197,GSDMD,0.771428571,0.102777778
198,ATP6V1G2,0.142857143,0.802777778
199,AHNAK,0.828571429,0.058333333
200,ZBED3-AS1,0.771428571,0.102777778
201,TNS1,0.771428571,0.102777778
202,KRT222,0.142857143,0.802777778
203,BRWD1,0.142857143,0.802777778
204,ZC3H10,0.771428571,0.102777778
205,TNFSF12,0.828571429,0.058333333
206,NDUFC1,0.142857143,0.802777778
207,OLA1,0.142857143,0.802777778
208,NPTX2,0.142857143,0.802777778
209,TBCA,0.142857143,0.802777778
210,STK36,0.828571429,0.058333333
211,CALM3,0.142857143,0.802777778
212,RBM17,0.828571429,0.058333333
213,SEC61G,0.142857143,0.802777778
214,MUC1,0.771428571,0.102777778
215,FAXC,0.142857143,0.802777778
216,PRSS16,0.142857143,0.802777778
217,SPACA6,0.828571429,0.058333333
218,LAMA5,0.828571429,0.058333333
219,SEZ6L,0.142857143,0.802777778
220,VGLL4,0.828571429,0.058333333
221,FOXO1,0.771428571,0.102777778
222,TCEAL2,0.142857143,0.802777778
223,RTN4,0.142857143,0.802777778
224,CLCN7,0.828571429,0.058333333
225,MAP3K6,0.828571429,0.058333333
226,IL9,0.142857143,0.802777778
227,SLC15A3,0.828571429,0.058333333
228,WWC3,0.771428571,0.102777778
229,ANGPT1,0.771428571,0.102777778
230,ZBTB20,0.828571429,0.058333333
231,CHMP4B,0.142857143,0.802777778
232,STK40,0.828571429,0.058333333
233,PHF21A,0.828571429,0.058333333
234,S100A4,0.771428571,0.102777778
235,PPP1R16A,0.828571429,0.058333333
236,FOXC1,0.828571429,0.058333333
237,PRKX,0.771428571,0.102777778
238,KCNK12,0.828571429,0.058333333
239,SVOP,0.142857143,0.802777778
240,CHCHD2,0.142857143,0.802777778
241,MOB3C,0.828571429,0.058333333
242,CIAO1,0.828571429,0.058333333
243,CDH26,0.771428571,0.102777778
244,SSC5D,0.771428571,0.102777778
245,WASF1,0.142857143,0.802777778
246,BRAT1,0.828571429,0.058333333
247,DNM3,0.142857143,0.802777778
248,THNSL1,0.142857143,0.802777778
249,UIMC1,0.828571429,0.058333333
250,NDRG4,0.142857143,0.802777778
251,SC5D,0.142857143,0.802777778
252,CLEC16A,0.828571429,0.058333333
253,FAAP20,0.828571429,0.058333333
254,CISD1,0.142857143,0.802777778
255,MYH3,0.771428571,0.102777778
256,GLO1,0.142857143,0.802777778
257,SNORA18,0.142857143,0.802777778
