,symbol,correlation,pvalue
289,ITPRIPL2,0.485714286,0.355555556
290,TNFRSF10B,0.485714286,0.355555556
291,SCRIB,0.485714286,0.355555556
292,LATS2,0.257142857,0.658333333
293,SIPA1,0.485714286,0.355555556
294,PAK2,0.485714286,0.355555556
295,LYG1,0.257142857,0.658333333
296,NUDT15,0.257142857,0.658333333
297,ENKD1,0.485714286,0.355555556
298,PLCG1,0.485714286,0.355555556
299,RIMS1,1,0.002777778
300,CNNM3,0.485714286,0.355555556
301,CALM2,1,0.002777778
302,CD151,0.485714286,0.355555556
303,CAB39L,0.257142857,0.658333333
304,NBEAL2,0.257142857,0.658333333
305,SCOC,1,0.002777778
306,ATP5F1B,1,0.002777778
307,GRTP1,0.257142857,0.658333333
308,MDH2,1,0.002777778
309,LEAP2,0.257142857,0.658333333
310,BCL6,0.485714286,0.355555556
311,DNAJC27,1,0.002777778
312,RASL12,0.485714286,0.355555556
313,PDE5A,0.257142857,0.658333333
314,CRBN,1,0.002777778
315,PCYOX1L,1,0.002777778
316,ATP5MJ,1,0.002777778
317,MTMR10,0.485714286,0.355555556
318,ATP6V1D,1,0.002777778
319,CRYM,1,0.002777778
320,ZNF621,0.485714286,0.355555556
321,BEX1,1,0.002777778
322,MYO9B,0.257142857,0.658333333
323,POTEKP,1,0.002777778
324,QPCT,1,0.002777778
325,STAT4,1,0.002777778
326,LIME1,0.485714286,0.355555556
327,AIG1,1,0.002777778
328,ST6GALNAC5,1,0.002777778
329,GCN1,0.485714286,0.355555556
330,VMP1,1,0.002777778
331,TP53INP1,0.257142857,0.658333333
332,TP53I13,0.485714286,0.355555556
333,CCDC184,1,0.002777778
334,FANCE,0.257142857,0.658333333
335,WASHC1,0.485714286,0.355555556
336,SARAF,1,0.002777778
337,DDX51,0.485714286,0.355555556
338,NME1,1,0.002777778
339,PIEZO2,0.257142857,0.658333333
340,SYDE1,0.257142857,0.658333333
341,RNF187,1,0.002777778
342,DUSP28,1,0.002777778
343,SYNJ2BP,0.485714286,0.355555556
344,FOXP1-IT1,0.257142857,0.658333333
345,PPDPF,1,0.002777778
346,GFAP,0.485714286,0.355555556
347,FAM234B,1,0.002777778
348,MAP4K4,0.485714286,0.355555556
349,FAM174A,1,0.002777778
350,SPART,0.257142857,0.658333333
351,EFEMP2,0.485714286,0.355555556
352,CALML4,0.257142857,0.658333333
353,LRP5,0.485714286,0.355555556
354,TOP1MT,0.257142857,0.658333333
355,FANCB,0.257142857,0.658333333
356,PLEKHA4,0.257142857,0.658333333
357,BEX2,1,0.002777778
358,SNORD99,0.257142857,0.658333333
359,FOXJ1,0.257142857,0.658333333
360,ZDHHC8,0.485714286,0.355555556
361,TMEM163,1,0.002777778
362,MBOAT2,0.485714286,0.355555556
363,MLIP,1,0.002777778
364,PPFIBP2,0.485714286,0.355555556
365,NAT9,0.485714286,0.355555556
366,COX6B1,1,0.002777778
367,ARHGAP17,0.485714286,0.355555556
368,CDK2AP1,0.485714286,0.355555556
369,TOP3B,0.257142857,0.658333333
370,B3GALNT1,1,0.002777778
371,NPTXR,1,0.002777778
372,UBQLN2,1,0.002777778
373,CALHM2,0.257142857,0.658333333
374,HDDC3,1,0.002777778
375,FBXL7,0.257142857,0.658333333
376,ELK1,0.485714286,0.355555556
377,GPN1,1,0.002777778
378,CTXN2,1,0.002777778
379,RGS4,1,0.002777778
380,RASAL3,0.257142857,0.658333333
381,GGA2,0.485714286,0.355555556
382,SRD5A3,1,0.002777778
383,UNC93B1,0.485714286,0.355555556
384,LLGL1,0.485714286,0.355555556
385,BGN,0.485714286,0.355555556
386,BMP1,0.257142857,0.658333333
387,LSM14A,0.485714286,0.355555556
388,PPP6R3,0.485714286,0.355555556
389,RRAGA,1,0.002777778
390,GLIS3,0.485714286,0.355555556
391,KCNV1,1,0.002777778
392,SLC39A10,1,0.002777778
393,BAZ1A,0.485714286,0.355555556
394,ZNF652,0.485714286,0.355555556
395,TIMM23,1,0.002777778
396,DSTN,1,0.002777778
397,DNAJC5G,1,0.002777778
398,EFR3B,1,0.002777778
399,TBC1D9,1,0.002777778
400,HS6ST2,1,0.002777778
401,C2orf80,1,0.002777778
402,PPP3CA,1,0.002777778
403,LOC390705,0.257142857,0.658333333
404,TOMM70,1,0.002777778
405,CITED1,1,0.002777778
406,DCAF1,0.257142857,0.658333333
407,WDR6,0.485714286,0.355555556
408,MSC,1,0.002777778
409,GMPR,0.257142857,0.658333333
410,PARD3,0.257142857,0.658333333
411,NASP,0.485714286,0.355555556
412,GABARAPL1,1,0.002777778
413,PRR14,0.485714286,0.355555556
414,FGR,0.485714286,0.355555556
415,TGFB1I1,0.257142857,0.658333333
416,LCAT,0.257142857,0.658333333
417,SLC6A12,0.485714286,0.355555556
418,STXBP1,1,0.002777778
419,BEX5,1,0.002777778
420,UBE2V2,1,0.002777778
421,KCNC2,1,0.002777778
422,GDF11,0.485714286,0.355555556
423,KCNJ10,0.485714286,0.355555556
424,SUN2,0.485714286,0.355555556
425,CACNB2,1,0.002777778
426,ACAN,0.257142857,0.658333333
427,TBC1D2B,0.485714286,0.355555556
428,NIBAN2,0.485714286,0.355555556
429,PRKAR1B,1,0.002777778
430,SNORA11,0.257142857,0.658333333
431,FLT3LG,0.257142857,0.658333333
432,RN7SK,0.485714286,0.355555556
433,NRXN1,1,0.002777778
434,ISCU,1,0.002777778
435,ZNF322,0.485714286,0.355555556
436,ZNF786,0.485714286,0.355555556
437,LRRC14,0.485714286,0.355555556
438,WBP11,1,0.002777778
439,GUCD1,0.485714286,0.355555556
440,OLFM1,1,0.002777778
441,PRPS1,1,0.002777778
442,DENND5A,0.485714286,0.355555556
443,PTPRN,1,0.002777778
444,TAL1,0.257142857,0.658333333
445,KPNA1,1,0.002777778
446,CACNG3,1,0.002777778
447,MCL1,0.485714286,0.355555556
448,MAP4K5,0.485714286,0.355555556
449,TXLNA,0.485714286,0.355555556
450,SPAG9,0.485714286,0.355555556
451,TMC6,0.485714286,0.355555556
452,YJU2,0.485714286,0.355555556
453,VEZF1,0.485714286,0.355555556
454,CYP26A1,1,0.002777778
455,USP11,1,0.002777778
456,TRAK2,0.485714286,0.355555556
457,BEND7,0.257142857,0.658333333
458,TFPI,0.257142857,0.658333333
459,PTPRN2,1,0.002777778
460,TCL1B,0.257142857,0.658333333
461,ARHGEF11,1,0.002777778
462,CDIP1,0.257142857,0.658333333
463,ARSG,1,0.002777778
464,ARF3,1,0.002777778
465,CNPY4,0.485714286,0.355555556
466,NREP,1,0.002777778
467,GCK,0.257142857,0.658333333
468,COLGALT1,0.485714286,0.355555556
469,CADM4,0.485714286,0.355555556
470,CENPB,0.485714286,0.355555556
