,symbol,correlation,pvalue
100,RAPGEF3,0.942857143,0.016666667
101,KAT2A,1,0.002777778
102,SPHKAP,0.485714286,0.355555556
103,RIPOR3,0.942857143,0.016666667
104,KANK2,0.942857143,0.016666667
105,SRGAP1,0.942857143,0.016666667
106,P3H2,0.942857143,0.016666667
107,PCED1A,0.942857143,0.016666667
108,AUP1,0.942857143,0.016666667
109,HIP1R,1,0.002777778
110,PAXIP1-AS2,0.942857143,0.016666667
111,CORO1C,1,0.002777778
112,FBXL19-AS1,0.942857143,0.016666667
113,SUB1,0.485714286,0.355555556
114,ENTR1,0.942857143,0.016666667
115,ZNF32,0.942857143,0.016666667
116,S100A6,1,0.002777778
117,HEY2,0.942857143,0.016666667
118,NINJ1,0.942857143,0.016666667
119,BNIP3,0.485714286,0.355555556
120,SLC30A3,0.485714286,0.355555556
121,SLC12A4,0.942857143,0.016666667
122,ADIPOR2,1,0.002777778
123,ARAP1,0.942857143,0.016666667
124,CAVIN1,1,0.002777778
125,UQCRHL,0.485714286,0.355555556
126,AEBP1,0.942857143,0.016666667
127,ITPRIP,0.942857143,0.016666667
128,PLXDC2,0.942857143,0.016666667
129,PLIN4,0.942857143,0.016666667
130,COL18A1,0.942857143,0.016666667
131,PEX11B,0.485714286,0.355555556
132,BTBD7,0.942857143,0.016666667
133,PSD2,1,0.002777778
134,PLCB1,0.485714286,0.355555556
135,PCSK1,0.485714286,0.355555556
136,DHDDS,0.485714286,0.355555556
137,PDGFRB,1,0.002777778
138,SPCS1,0.485714286,0.355555556
139,MYL12B,0.485714286,0.355555556
140,TRIM51,0.485714286,0.355555556
141,RASSF1,0.942857143,0.016666667
142,INPP5D,0.942857143,0.016666667
143,FBXW4,0.942857143,0.016666667
144,SLC16A14,0.485714286,0.355555556
145,ZNF184,0.485714286,0.355555556
146,BCL2L12,0.942857143,0.016666667
147,CCKBR,0.485714286,0.355555556
148,TSPAN7,0.485714286,0.355555556
149,SLC7A2,1,0.002777778
150,ADCYAP1,0.485714286,0.355555556
151,UHRF1,0.942857143,0.016666667
152,ZNF618,0.942857143,0.016666667
153,DLEC1,0.942857143,0.016666667
154,ATP6V1E1,0.485714286,0.355555556
155,NEXN,0.942857143,0.016666667
156,TLR5,0.942857143,0.016666667
157,TEAD2,0.942857143,0.016666667
158,TMEM216,0.942857143,0.016666667
159,TSPO,1,0.002777778
160,SORBS1,1,0.002777778
161,SCG3,0.485714286,0.355555556
162,KLF6,1,0.002777778
163,SEH1L,0.485714286,0.355555556
164,MRPS30,0.485714286,0.355555556
165,CCDC32,0.485714286,0.355555556
166,NOTCH1,1,0.002777778
167,STEAP3,0.942857143,0.016666667
168,ATP5MG,0.485714286,0.355555556
169,IST1,1,0.002777778
170,ZMIZ2,0.942857143,0.016666667
171,CYP2C8,0.485714286,0.355555556
172,OSBPL2,1,0.002777778
173,HOPX,0.485714286,0.355555556
174,PLEKHA8P1,0.942857143,0.016666667
175,PSMD1,0.485714286,0.355555556
176,NME3,1,0.002777778
177,LDLRAD4,0.485714286,0.355555556
178,PRKCG,0.485714286,0.355555556
179,PRDM15,0.942857143,0.016666667
180,PHF19,0.942857143,0.016666667
181,CSRNP1,1,0.002777778
182,RTKN2,0.485714286,0.355555556
183,NTPCR,0.485714286,0.355555556
184,RTL8C,0.485714286,0.355555556
185,ITPKB,1,0.002777778
186,SLC25A18,1,0.002777778
187,AGAP2,0.485714286,0.355555556
188,UQCRC2,0.485714286,0.355555556
189,MRTFB,0.485714286,0.355555556
190,SLC5A3,1,0.002777778
191,NDE1,1,0.002777778
192,IRF7,0.942857143,0.016666667
193,F8A1,0.485714286,0.355555556
194,CLN8,0.942857143,0.016666667
195,TRIM48,0.485714286,0.355555556
196,NCALD,0.485714286,0.355555556
197,GSDMD,0.942857143,0.016666667
198,ATP6V1G2,0.485714286,0.355555556
199,AHNAK,1,0.002777778
200,ZBED3-AS1,0.942857143,0.016666667
201,TNS1,0.942857143,0.016666667
202,KRT222,0.485714286,0.355555556
203,BRWD1,0.485714286,0.355555556
204,ZC3H10,0.942857143,0.016666667
205,TNFSF12,1,0.002777778
206,NDUFC1,0.485714286,0.355555556
207,OLA1,0.485714286,0.355555556
208,NPTX2,0.485714286,0.355555556
209,TBCA,0.485714286,0.355555556
210,STK36,1,0.002777778
211,CALM3,0.485714286,0.355555556
212,RBM17,1,0.002777778
213,SEC61G,0.485714286,0.355555556
214,MUC1,0.942857143,0.016666667
215,FAXC,0.485714286,0.355555556
216,PRSS16,0.485714286,0.355555556
217,SPACA6,1,0.002777778
218,LAMA5,1,0.002777778
219,SEZ6L,0.485714286,0.355555556
220,VGLL4,1,0.002777778
221,FOXO1,0.942857143,0.016666667
222,TCEAL2,0.485714286,0.355555556
223,RTN4,0.485714286,0.355555556
224,CLCN7,1,0.002777778
225,MAP3K6,1,0.002777778
226,IL9,0.485714286,0.355555556
227,SLC15A3,1,0.002777778
228,WWC3,0.942857143,0.016666667
229,ANGPT1,0.942857143,0.016666667
230,ZBTB20,1,0.002777778
231,CHMP4B,0.485714286,0.355555556
232,STK40,1,0.002777778
233,PHF21A,1,0.002777778
234,S100A4,0.942857143,0.016666667
235,PPP1R16A,1,0.002777778
236,FOXC1,1,0.002777778
237,PRKX,0.942857143,0.016666667
238,KCNK12,1,0.002777778
239,SVOP,0.485714286,0.355555556
240,CHCHD2,0.485714286,0.355555556
241,MOB3C,1,0.002777778
242,CIAO1,1,0.002777778
243,CDH26,0.942857143,0.016666667
244,SSC5D,0.942857143,0.016666667
245,WASF1,0.485714286,0.355555556
246,BRAT1,1,0.002777778
247,DNM3,0.485714286,0.355555556
248,THNSL1,0.485714286,0.355555556
249,UIMC1,1,0.002777778
250,NDRG4,0.485714286,0.355555556
251,SC5D,0.485714286,0.355555556
252,CLEC16A,1,0.002777778
253,FAAP20,1,0.002777778
254,CISD1,0.485714286,0.355555556
255,MYH3,0.942857143,0.016666667
256,GLO1,0.485714286,0.355555556
257,SNORA18,0.485714286,0.355555556
258,PGAM4,0.485714286,0.355555556
259,UBE2N,0.485714286,0.355555556
260,ENPP5,0.485714286,0.355555556
261,CHN1,0.485714286,0.355555556
262,PABPC1L,0.942857143,0.016666667
263,FBXW7,0.485714286,0.355555556
264,BABAM2,0.485714286,0.355555556
265,BEX3,0.485714286,0.355555556
266,PITPNB,0.485714286,0.355555556
267,JPT2,0.942857143,0.016666667
268,A2ML1,0.942857143,0.016666667
269,FHIP1B,0.485714286,0.355555556
270,KIFAP3,0.485714286,0.355555556
271,CLVS1,0.485714286,0.355555556
272,KDM5A,0.942857143,0.016666667
273,EDA,0.942857143,0.016666667
274,ACACB,1,0.002777778
275,RGS7,0.485714286,0.355555556
276,DFFA,1,0.002777778
277,YWHAG,0.485714286,0.355555556
278,TRMT10C,0.485714286,0.355555556
279,CDK10,1,0.002777778
280,MRPL21,0.485714286,0.355555556
281,PER1,0.942857143,0.016666667
282,DAB2,0.942857143,0.016666667
283,FBL,1,0.002777778
284,CEP104,0.942857143,0.016666667
285,SCN2B,0.485714286,0.355555556
286,BRINP2,0.485714286,0.355555556
287,HERC1,0.485714286,0.355555556
288,PEDS1,1,0.002777778
289,ITPRIPL2,1,0.002777778
290,TNFRSF10B,1,0.002777778
291,SCRIB,1,0.002777778
292,LATS2,0.942857143,0.016666667
293,SIPA1,1,0.002777778
294,PAK2,1,0.002777778
295,LYG1,0.942857143,0.016666667
296,NUDT15,0.942857143,0.016666667
297,ENKD1,1,0.002777778
298,PLCG1,1,0.002777778
299,RIMS1,0.485714286,0.355555556
300,CNNM3,1,0.002777778
301,CALM2,0.485714286,0.355555556
302,CD151,1,0.002777778
303,CAB39L,0.942857143,0.016666667
304,NBEAL2,0.942857143,0.016666667
305,SCOC,0.485714286,0.355555556
306,ATP5F1B,0.485714286,0.355555556
307,GRTP1,0.942857143,0.016666667
308,MDH2,0.485714286,0.355555556
309,LEAP2,0.942857143,0.016666667
310,BCL6,1,0.002777778
311,DNAJC27,0.485714286,0.355555556
312,RASL12,1,0.002777778
313,PDE5A,0.942857143,0.016666667
314,CRBN,0.485714286,0.355555556
315,PCYOX1L,0.485714286,0.355555556
316,ATP5MJ,0.485714286,0.355555556
317,MTMR10,1,0.002777778
318,ATP6V1D,0.485714286,0.355555556
319,CRYM,0.485714286,0.355555556
