Names	total	elements
AD Calcium homeostasis	20	
                    XK
		PPP3CB
		PPP3CA
		TSPO
		YWHAE
		ATP1B1
		FZD9
		ITPKB
		GPER1
		SNX10
		GRINA
		ITPR1
		ATP2B3
		CCKBR
		PTH1R
		ATP2A2
		NELL2
		TMEM178A
		NOTCH1
		ATF4
Calcium homeostasis	358	VDR
		RCN3
		ACE
		FSTL1
		CDH3
		RYR3
		KCNMA1
		EDN1
		INPP5K
		IHH
		FASLG
		ABCC6
		NMB
		CUBN
		MICU3
		PRKAA2
		SLC10A7
		CYBA
		SELENOK
		KDR
		CCL11
		CCL23
		TSPOAP1
		ANXA1
		ATP13A1
		NTSR1
		TRPM7
		RGN
		CAPN3
		PML
		SMDT1
		BAK1
		MTNR1B
		PTK2B
		FAM20A
		KEL
		ATP2C2
		PNPLA3
		GRM2
		CD24
		CALB1
		HTR2B
		CCR1
		GPR3
		RHOT1
		TUNAR
		ATP1A2
		TRPM8
		PLA2G12B
		LYN
		HERPUD1
		TRPC5
		TGM2
		PRKCB
		CLDN4
		NOS1
		PKD2
		CIB2
		ELANE
		CTRC
		MCUB
		CLIC4
		IAPP
		HOMER2
		SLC8A1
		HTR1B
		PLN
		CLDN16
		ANKH
		SLC8A2
		CYP27B1
		CALCB
		TRDN
		ATP13A2
		STIM2
		TREM2
		HTR2C
		TNFSF11
		CALHM1
		CCL19
		GPR55
		BOK
		DRD5
		AVPR1B
		PLA2G2A
		DMTN
		TMEM203
		APOE
		TRPV6
		CIB3
		ADORA1
		SRI
		AQP3
		URS000030BD69_9606
		AFG3L2
		CALHM3
		FLG2
		DDIT3
		HOMER1
		GRIN1
		CCL8
		SLC8A3
		SLC8B1
		DHRS7C
		MCU
		SLC24A5
		BCL2
		HCRTR2
		KL
		PDZD8
		ATP13A3
		DRD3
		GRM5
		CD36
		THADA
		PIK3CB
		CXCL12
		ZNHIT1
		CORO1A
		G6PD
		C19orf12
		GCK
		TRPV4
		ADRA2A
		CX3CL1
		NR5A2
		EDNRA
		AVPR1A
		STIM1
		LETM1
		ERO1A
		CAMK2D
		COMP
		SYPL2
		MICU1
		BCAP31
		F2R
		CAV1
		GCM2
		TNNI3
		CD40
		ABL1
		CALHM4
		GRIK2
		RYR1
		UNC13B
		SLC30A1
		TMBIM6
		LRRK2
		SLC9A1
		CDH2
		ENDOG
		SPTA1
		AGT
		SLC24A4
		PACS2
		CALHM5
		RHOT2
		HSP90B1
		TRPC6
		TFAP2B
		DMPK
		TCIRG1
		PKHD1
		DRD4
		RHOA
		TMCO1
		CCL1
		RYR2
		LACRT
		CCL7
		CALCA
		TRPC7
		OIT3
		IMMT
		WNK3
		DLL1
		ATP13A4
		ATP2B4
		NOS3
		TRPV5
		PTH
		PRKAA1
		SLC24A1
		ATP2C1
		MTTP
		KCNA5
		STOML2
		P2RX1
		TMEM165
		PKN1
		CASR
		GATA1
		CSRP3
		CNR1
		GPR12
		PDE4B
		MICU2
		RAC3
		SGCD
		BTK
		ATP2A1
		SCN7A
		CDHR1
		ATP7B
		DISC1
		TMEM64
		BNIP3
		ATP13A5
		TPT1
		CCL5
		CCN2
		ANXA6
		P2RY1
		VAPB
		CHP1
		CDH23
		LCK
		TLR9
		STC1
		CRB2
		FLG
		JPH2
		ATP2B2
		MCUR1
		UMOD
		CCR2
		EHD1
		HCRTR1
		EDN3
		CAV3
		ANK2
		LDLR
		ITGB1
		DRD2
		CCL14
		LPL
		CALR
		JAK3
		GCG
		S100A14
		ENPP1
		CPS1
		KCNB1
		GATA2
		P2RX4
		EDNRB
		HRC
		CHERP
		JAK2
		SV2A
		NPTN
		SCGN
		PDK2
		DMD
		ADM
		TPCN2
		uniplex-micu1_2_human
		PRKACA
		F2
		GRIA1
		WNT5A
		TRPA1
		GPR174
		PTGS2
		SELENON
		EDN2
		TMTC4
		RMDN3
		CTNNB1
		CLDN1
		FIS1
		CAV2
		NT5E
		NCSTN
		BAD
		CCL15
		HEXB
		WNK4
		MTLN
		CALHM6
		SLC35G1
		STC2
		TRPM2
		URS00000E5433_9606
		PCDH15
		TRPC1
		SLC24A3
		CLTRN
		KCTD17
		AGTR1
		CALB2
		GRM1
		HTR2A
		TRPC4
		CASQ2
		CX3CR1
		PSEN1
		SUCNR1
		RPH3AL
		FKBP1B
		P2RX7
		SLC24A2
		ADCY8
		MAIP1
		ADGRV1
		CCL3
		GAS6
		PNPLA8
		HCRT
		CALHM2
		S100A8
		ACTG1
		SLC25A23
		KCNN4
		BHLHA15
		FFAR1
		LPCAT1
		EPO
		ATP6V1B1
		SELENOT
		BAX
		CRB1
		PLA2G10
		CDH5
		STXBP3
		ANO6
		CCL2
		PRNP
		ADA
		CLN3
		TRPC3
		ENPP3
		APP
		ALPL
		ATP2B1
		ATP2A3
		CCR7
		FGF23
		CCDC47
		P2RY4
		TRPV1
		PLSCR3
		CHRNA7
		AVP
		TMTC2
		WFS1
		TRIM24
		HMGB1
		S100A9
		MEF2C
		RAP1GDS1
		ACER1
		CCR4
		DRD1
		CCL13
		FATE1
		HRNR
AD	429	PNMA1
		CD44
		HAUS2
		DACH2
		VAMP2
		MAP4
		PIGX
		ZHX3
		TMEM130
		HERC1
		TAGLN
		RN7SK
		WASF1
		HSPB1
		INPPL1
		ANKRD36B
		CHGB
		RTN4
		AMPH
		VPS35
		PAK1
		ACSS1
		TOMM20
		DNM3
		SYT1
		NAP1L2
		ARHGAP32
		GLO1
		RTN1
		PRKCG
		FBXO34
		DFFA
		TRABD
		MKNK2
		ARRDC2
		MID1IP1
		CRACDL
		FAM234B
		YWHAG
		FGR
		GADD45G
		LRRC32
		SLC16A14
		TUBB2A
		NIBAN2
		GOT1
		CKMT1B
		PCSK1
		CAPS
		TNS3
		RORA
		CYP4X1
		ZNF365
		ATP6V1B2
		CCDC125
		NSF
		CDH13
		PLIN4
		LEP
		DDIT4
		PGRMC1
		CLDN5
		ST6GALNAC5
		STX1A
		LRFN5
		NAP1L3
		BASP1
		ITM2B
		ADCYAP1
		ACTR10
		PNMA2
		LIME1
		CRYM
		MOB3C
		NUDT11
		G3BP2
		DENR
		CPNE4
		FOXO4
		NUBPL
		MLLT6
		TAF13
		INA
		SCOC
		ELAVL4
		PPP3R1
		PDCD4
		ANLN
		UCHL1
		TCEAL7
		SCG2
		SERPINI1
		DDX27
		RBM14
		NLK
		SORBS1
		TSPAN13
		NBEA
		RASL12
		RAX2
		TNFRSF9
		MAGEE1
		THOC2
		NELL1
		NBPF10
		SLC9A6
		NECAP1
		PLA2G2D
		MCM7
		CREG2
		ZNF786
		KIFAP3
		ATP6V1H
		SLC6A15
		SYT13
		RMDN1
		MYT1L
		SIPA1
		TUT7
		FOXC1
		NAP1L5
		HSPB3
		MXD4
		ZNF25
		TAGLN3
		MUC1
		PCDH7
		MRAP2
		HPCA
		KIFBP
		CPLX1
		CACNG3
		SLCO3A1
		TUSC3
		C2orf80
		DCLK1
		MYBPC1
		NEFM
		RGS4
		LDB2
		NECAB1
		PLXNB1
		LOC401261
		NRGN
		PARP10
		TSPAN7
		CKMT1A
		STAT4
		HPRT1
		TUBA1C
		RAPGEF3
		AEBP1
		CHST6
		CCDC9B
		VSNL1
		VIP
		SLITRK4
		PRMT2
		RASL11B
		STRIP2
		EZR
		EML3
		FLNC
		PDP1
		MYOT
		SGIP1
		RCAN2
		TSPYL1
		CAVIN1
		BCAS1
		GSDMB
		LOC729609
		STEAP2
		FCGBP
		APLNR
		EPHA4
		GDF11
		CMTM3
		SMIM43
		BEX1
		ZBTB20
		KRT222
		SPACA6
		ITPRIPL2
		CBLN4
		CCDC184
		CPLX2
		CAMK1D
		PTPRN
		DYNC1I1
		SLC15A3
		RHOQ
		TRIM37
		AHNAK
		FBXW7
		RAB13
		INTS13
		SLC12A5
		RSPO2
		LRRC8B
		ZCCHC24
		EIF2AK4
		RBM6
		NMNAT2
		LLGL1
		UBE2N
		PCLO
		YWHAZ
		SYNJ2BP
		TM2D3
		SYBU
		HIP1R
		OPA1
		GFAP
		KRCC1
		MT1G
		CYP26B1
		PFN2
		SCG3
		SYNPR
		AASDHPPT
		ZCCHC12
		SV2B
		ADGRL1
		ITFG1
		PDE9A
		ATP6AP2
		TMEM191A
		CD151
		TP53I13
		SLC25A18
		PPFIBP2
		CAP2
		NPTX2
		DSEL
		SATB2
		SYTL4
		PDGFRB
		TEAD2
		ATP6V1G2
		MT1F
		SNAP25
		ITSN1
		MORF4L2
		CHL1
		MED15P9
		GLRB
		SUB1
		NCALD
		SLC16A9
		SLC39A10
		KCNV1
		SLITRK1
		TMEM14A
		RAD51
		EID2
		BEX2
		AGO2
		KLF2
		RIMBP2
		DENND4C
		PKM
		TCEAL6
		CADPS
		SLC6A12
		HEY2
		GABRG2
		CERS1
		UBALD1
		TPM2
		AK5
		CENPB
		NDRG4
		NAPB
		PGAM4
		NHSL1-AS1
		LDHA
		GABRA5
		RGS7
		FAM229B
		CFLAR
		ACACB
		STXBP1
		SVOP
		PREPL
		NSG2
		STAMBPL1
		MLKL
		SAP25
		SERINC1
		SCRIB
		ARHGDIG
		DUSP1
		NT5DC3
		LRP5
		ENC1
		MAP2K1
		FGF12
		OXR1
		DGKB
		REPS2
		TUBB8
		SPHKAP
		SFMBT2
		POTEKP
		NSG1
		GABBR2
		NPY
		GAD2
		VGF
		SC5D
		MT1H
		CALD1
		GABARAPL1
		KCNK1
		KCNN3
		SST
		CNNM3
		ARID4B
		SH3GL2
		DIRAS2
		NFKBIA
		ANO3
		GABRA2
		FAM107B
		ADAM22
		ATP6V1D
		BTBD10
		MOAP1
		MAP4K4
		PLPPR4
		SNCA
		VDAC1
		R3HDM1
		GNG2
		CAMK1G
		TMEM106A
		MAP2K4
		NCOA7
		CCK
		TMC6
		ANKRD18A
		SLC30A3
		EPB41L3
		BCL6
