"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MCM7",0.773757119317046,8.70132790227257,10.2011175192115,7.62666461001604e-20,1.97431527022465e-16,34.4391892690287
"CERS1",0.686224784848094,8.38015758676122,9.75943649738045,1.44735287385912e-18,2.01310475135913e-15,31.568615315163
"ZHX3",0.62327417772051,8.78947902011968,9.75933230233976,1.44835122663178e-18,2.01310475135913e-15,31.5679428887312
"NFKBIA",0.821213648435796,10.6749243016709,9.70844101022489,2.02775239190777e-18,2.48930970312468e-15,31.2397984557783
"CMTM3",0.587798626423911,7.80302689216605,9.62157165139308,3.59658956532836e-18,3.68347559745919e-15,30.681001668258
"CHST6",0.724791775772138,7.3396972027045,9.53834383412153,6.21770286439655e-18,6.04951400191463e-15,30.1472461320919
"PLXNB1",0.892416791881667,9.06322159812941,9.51756565674746,7.12644280460191e-18,6.60349764451184e-15,30.0142439621234
"ARRDC2",0.731727614447128,7.63465954642443,9.38968194409187,1.64628790240145e-17,1.23201684663433e-14,29.1979302956356
"CAPS",0.826160466088737,7.89728818698747,9.32941086396508,2.43938864471361e-17,1.48337698867131e-14,28.8145944117609
"HSPB3",-0.633791017600467,7.60070055895871,-9.29836964869429,2.98593565633595e-17,1.76070672535277e-14,28.6175218268721
"CCDC9B",0.801847513857614,8.78069882703051,9.2641779657955,3.72964834656322e-17,2.01597853266038e-14,28.4007313764493
"PTBP1",0.590504416812117,10.418444708897,9.24434418202638,4.24264153414973e-17,2.100054093013e-14,28.2751138819209
"NAP1L5",-0.993305972659783,9.17647039125503,-9.24223132681119,4.30126258920651e-17,2.100054093013e-14,28.2617380752272
"EZR",0.733140591372242,11.8435622034309,9.24167326979608,4.3168797841883e-17,2.100054093013e-14,28.2582053886485
"MID1IP1",0.765966687503661,8.99019544462089,9.12163197882975,9.39558225011886e-17,3.44959688688798e-14,27.5002016847691
"RHOQ",0.680828958230654,10.8197265015189,9.08239015220131,1.21052989805359e-16,4.17860452495127e-14,27.2532412897872
"TUBB8",-0.637509415558709,8.75999202339147,-9.0806735203536,1.2240118090458e-16,4.17860452495127e-14,27.242447547079
"MLLT6",0.630481345374191,9.53964482443386,9.04981846887301,1.49342570496489e-16,4.92574845122053e-14,27.0485760604401
"PFN2",-0.894448566651954,11.0077672637055,-9.02512818761897,1.75080601850215e-16,5.5528169096082e-14,26.8936279823727
"ITSN1",0.722663816847194,8.90916773042485,9.01259835156131,1.89781512673019e-16,5.77024758610042e-14,26.8150593395512
"RBM6",0.629360248210222,9.32961659579866,8.9801844620767,2.33749137797758e-16,6.58330616434041e-14,26.612010112465
"TUBB2A",-1.03350457803568,10.8186421738933,-8.97815150687505,2.36821743925088e-16,6.58330616434041e-14,26.5992849380337
"FAM229B",0.63394273393283,7.98850880318948,8.91924721317788,3.45568542797685e-16,8.73301074584435e-14,26.2310836002912
"TRABD",0.758276958632582,9.73820353775193,8.85973068230454,5.05728349600987e-16,1.21493431541798e-13,25.8600627075438
"VGF",-1.2291913997676,9.70114457624865,-8.82626548685928,6.26202200436086e-16,1.43356101391598e-13,25.6518951014712
"NT5DC3",-0.619063995612908,8.87073833305339,-8.73328296129961,1.13188041900759e-15,2.27064547149161e-13,25.0752421287184
"CFLAR",0.758787022417694,9.18545531260853,8.72735774346525,1.17529055429674e-15,2.31009887838992e-13,25.0385832242779
"RAPGEF3",0.823852187479676,7.92602856364651,8.71920895720631,1.23770222716019e-15,2.40844476383102e-13,24.9881846043762
"SPHKAP",-0.603458661065672,7.20309989737675,-8.70140254768038,1.38576162287056e-15,2.64367994308218e-13,24.878125622238
"HIP1R",0.628062443359013,10.4181597661258,8.65654290785192,1.84132850767773e-15,3.28719370925697e-13,24.6012837008081
"SUB1",-0.641695008971793,9.25196798998611,-8.60216339380942,2.59663661192198e-15,4.4715001620699e-13,24.2665253748793
"HEY2",0.745440448299497,8.21960275159244,8.58454110910492,2.90202813042892e-15,4.78738547587559e-13,24.1582413799795
